Airline,Type
Sun Express (XQ),budget
Hainan Airlines (HU),premium
United Airlines (UA),premium
Fly One (FIA),budget
Qatar Airways (QR),premium
Ryanair (FR),budget
easyJet Switzerland (DS),budget
Delta Air Lines (DL),premium
Lufthansa (LH),premium
Aero Services Executive (W4),premium
Wizz Air (W6),budget
Austrian Airlines (OS),premium
KLM Royal Dutch Airlines (KL),premium
easyJet Europe (EJU),budget
Pegasus Airlines (PC),budget
Air France (AF),premium
Swiss (LX),premium
Norwegian Air Shuttle (DY),budget
Turkish Airlines (TK),premium
EL AL- Israel Airlines (LY),premium
Air Baltic (BT),premium
Aer Lingus (EI),premium
Croatia Airlines (OU),premium
Vueling Airlines (VY),budget
(BQ),budget
SAS-Scandinavian Airlines System (SK),premium
British Airways (BA),premium
LOT Polish Airlines (LO),premium
IBERIA Express (IBS),budget
Azerbaijan Airlines (J2),premium
Scoot (TR),budget
Aegean Airlines (A3),premium
Brussels Airlines (SN),premium
Eurowings (EW),budget
Freebird Airlines (FHY),budget
(VF),budget
easyJet UK (U2),budget
(OG),budget
SUNDAIR (SDR),budget
AtlasGlobal (KK),premium
TAP Air Portugal (TP),premium
Finnair (AY),premium
Icelandair (FI),premium
(N0),budget
Egypt Air (MS),premium
Transavia France (TO),budget
Norwegian Air (D8),budget
Israir (6H),premium
Air Serbia (JU),premium
Danish Air Transport (DX),premium
Luxair (LG),premium
Air Malta (KM),premium
Bulgaria Air (FB),premium
Volotea Airlines (VOE),budget
Air Cairo (SM),budget
Corendon Airlines Europe (CXI),budget
Nouvelair Tunisie (BJ),budget
UR Airlines (UBD),budget
Ryanair UK (RUK),budget
TUI fly (Netherlands) (OR),budget
TUI fly (Belgium) (TB),budget
Georgian Airways (A9),premium
ARKIA Israeli Airlines (IZ),premium
Edelweiss Air AG (WK),premium
(IV),budget
Nesma Airlines (NE),budget
Star East Airlines (SEK),budget
Zimex Aviation (XM),premium
Corendon Airlines (CAI),budget
Eagle Aviation GmbH (GER),premium
(6K),budget
Enter Air (ENT),budget
(TLJ),budget
Amelia International (AEH),budget
Eastern Airways (T3),premium
Titan Airways (ZT),premium
Air Europa (UX),premium
Alba Star (LAV),budget
Pan Européenne Air Service (EUP),premium
IBERIA (IB),premium
Malta Air (MAY),budget
